"ch";"P1070";"P6020";"P6040";"P6081";"P6083";"P6080";"P9010";"P9030";"CANT_PERSONAS_HOGAR";"P5095"
5;1;1;62;3;3;6;2;2;6;1
3;2;2;71;3;3;6;1;3;4;1
0;1;2;80;3;3;6;2;1;1;1
2;1;2;64;3;3;6;2;2;3;1
2;1;1;65;3;3;6;2;2;3;1
0;1;1;75;3;3;6;1;1;1;1
1;1;1;79;3;3;6;2;3;2;1
0;1;2;62;3;3;6;1;3;1;1
0;2;2;64;3;3;6;1;2;1;1
0;1;1;80;3;3;5;1;3;1;1
1;2;1;63;3;3;6;1;2;2;1
3;1;1;41;3;3;6;2;2;4;1
3;1;2;57;3;3;6;1;3;4;1
1;1;1;64;3;3;6;2;2;2;3
2;1;2;58;3;3;6;1;2;3;1
5;1;2;59;3;3;6;2;2;6;3
2;2;1;59;3;3;6;1;2;3;4
5;1;2;77;3;3;6;2;3;6;4
4;1;1;60;3;3;6;1;2;5;1
0;1;2;40;3;3;6;2;2;1;3
2;1;2;57;3;3;6;1;2;3;1
4;1;1;40;3;3;6;1;2;5;1
7;1;2;54;3;3;6;1;2;8;1
0;1;2;66;3;3;6;1;2;1;1
0;1;2;70;3;3;6;1;2;1;1
2;1;1;53;3;3;6;1;2;3;5
1;2;1;35;3;3;6;1;1;2;3
2;1;2;52;3;3;6;1;2;3;1
1;1;1;66;3;3;6;1;2;2;1
0;1;1;78;3;3;6;1;2;1;1
0;1;2;70;3;3;6;1;1;1;1
2;2;1;74;3;3;6;1;2;3;3
2;2;2;61;3;3;6;1;2;3;3
2;2;1;37;3;3;6;1;2;3;3
0;2;1;64;3;3;6;1;3;1;3
2;1;1;60;3;3;6;1;2;3;4
6;2;1;61;3;3;6;1;2;7;1
1;1;1;67;3;3;6;1;3;2;3
5;1;1;81;3;3;6;1;2;6;1
2;2;1;61;3;3;6;1;2;3;1
3;2;1;42;3;3;6;1;2;4;3
0;2;1;72;3;3;6;1;3;1;3
4;2;1;50;3;3;6;1;2;5;3
5;2;1;62;3;3;6;1;2;6;1
5;1;1;45;3;3;5;1;2;6;3
3;1;2;61;3;3;6;1;2;4;4
4;2;1;55;3;3;6;1;2;5;5
2;1;1;65;3;3;6;1;1;3;1
3;1;1;80;3;3;6;2;2;4;1
1;1;2;76;3;3;6;2;4;2;1
2;1;1;40;3;3;6;1;2;3;1
1;1;1;49;3;3;6;1;2;2;3
0;3;2;70;3;3;6;1;2;1;3
3;2;1;32;3;3;6;1;2;4;1
0;1;2;77;3;3;6;1;2;1;1
0;1;1;57;3;3;6;1;1;1;4
1;1;2;75;3;3;6;1;2;2;1
3;1;2;66;3;3;6;1;1;4;1
2;1;2;60;3;3;6;1;2;3;1
0;1;2;62;3;3;6;1;2;1;1
3;1;1;40;3;3;6;1;1;4;1
0;3;1;63;3;3;6;1;4;1;4
2;2;1;71;3;3;6;1;2;3;1
7;1;2;52;3;3;6;1;4;8;1
4;1;1;26;3;3;6;1;2;5;3
1;1;1;61;3;3;6;1;3;2;1
1;2;2;85;3;3;6;1;2;2;3
3;1;1;64;3;3;6;1;1;4;1
3;1;1;35;3;3;6;1;2;4;1
3;1;2;52;3;3;6;1;2;4;4
3;3;2;36;3;3;6;1;3;4;4
1;1;1;71;3;3;6;1;1;2;1
4;1;2;62;3;3;6;1;1;5;1
1;1;1;70;3;3;6;1;2;2;1
0;1;1;52;3;3;6;1;2;1;4
0;2;1;50;3;3;6;2;2;1;3
0;1;2;68;3;3;6;1;2;1;1
0;1;2;72;3;3;6;1;2;1;1
0;1;2;80;3;3;6;1;2;1;1
2;2;2;73;3;3;6;1;2;3;1
3;2;1;59;3;3;6;1;2;4;3
3;1;1;55;3;3;6;2;2;4;3
